iter	RMSE
427	2620.403995
428	2613.729825
429	2607.116419
430	2601.830932
431	2596.4222
432	2591.893581
433	2588.609718
434	2581.819726
435	2578.705158
436	2574.07007
437	2567.120065
438	2560.000667
439	2555.558077
440	2552.056333
441	2542.897942
442	2540.981128
443	2535.358336
444	2526.200383
445	2524.075694
446	2521.39414
447	2511.214846
448	2508.505141
449	2496.261568
450	2491.630217
451	2486.171784
452	2479.711812
453	2466.745834
454	2462.429453
455	2454.579222
456	2447.832746
457	2441.799165
458	2439.62719
459	2430.856211
460	2423.93348
461	2418.397873
462	2412.930548
463	2400.509259
464	2390.658368
465	2385.078071
466	2379.746204
467	2375.583717
468	2367.315665
469	2363.911954
470	2353.546721
471	2346.433445
472	2341.934483
473	2336.459189
474	2330.369555
475	2326.320667
476	2319.726622
477	2313.049332
478	2307.198675
479	2304.867004
480	2297.379975
481	2289.440962
482	2280.670028
483	2272.244477
484	2265.84596
485	2257.316281
486	2252.594454
487	2245.202879
488	2238.58798
489	2231.268587
490	2227.289065
491	2224.471886
492	2220.738429
493	2212.726535
494	2207.40355
495	2197.07634
496	2191.944615
497	2184.497532
498	2171.911032
499	2163.364619
