date,total_sales,year,month,week,weekday,year_month
2013-05-29,309333.380899,2013,5,22,2,2013-05
2013-05-30,304344.849939,2013,5,22,3,2013-05
2013-05-31,330257.841975,2013,5,22,4,2013-05
2013-06-01,566901.814988,2013,6,22,5,2013-06
2013-06-02,637698.494958,2013,6,22,6,2013-06
2013-06-03,426332.097995,2013,6,23,0,2013-06
2013-06-04,369705.160085,2013,6,23,1,2013-06
2013-06-05,361791.080915,2013,6,23,2,2013-06
2013-06-06,317496.765891,2013,6,23,3,2013-06
2013-06-07,357673.087977,2013,6,23,4,2013-06
2013-06-08,466292.699096,2013,6,23,5,2013-06
2013-06-09,526804.730256,2013,6,23,6,2013-06
2013-06-10,349754.291978,2013,6,24,0,2013-06
2013-06-11,283858.2159925,2013,6,24,1,2013-06
2013-06-12,320173.5779987,2013,6,24,2,2013-06
2013-06-13,282886.9200452,2013,6,24,3,2013-06
2013-06-14,326956.74210719997,2013,6,24,4,2013-06
2013-06-15,505950.6668701,2013,6,24,5,2013-06
2013-06-16,435894.082881,2013,6,24,6,2013-06
2013-06-17,370944.271024,2013,6,25,0,2013-06
2013-06-18,320885.3399215,2013,6,25,1,2013-06
2013-06-19,319235.25797700003,2013,6,25,2,2013-06
2013-06-20,293877.944015,2013,6,25,3,2013-06
2013-06-21,319722.6870265,2013,6,25,4,2013-06
2013-06-22,446347.312096,2013,6,25,5,2013-06
2013-06-23,504964.845142,2013,6,25,6,2013-06
2013-06-24,336631.9640383,2013,6,26,0,2013-06
2013-06-25,305119.530064,2013,6,26,1,2013-06
2013-06-26,301847.2489636,2013,6,26,2,2013-06
2013-06-27,266525.458966,2013,6,26,3,2013-06
2013-06-28,324210.971803,2013,6,26,4,2013-06
2013-06-29,509379.108146,2013,6,26,5,2013-06
2013-06-30,533481.693027,2013,6,26,6,2013-06
2013-07-01,441758.3880965,2013,7,27,0,2013-07
2013-07-02,390958.38408,2013,7,27,1,2013-07
2013-07-03,374551.917949,2013,7,27,2,2013-07
2013-07-04,327020.179028,2013,7,27,3,2013-07
2013-07-05,351401.500074,2013,7,27,4,2013-07
2013-07-06,479514.493924,2013,7,27,5,2013-07
2013-07-07,500606.073078,2013,7,27,6,2013-07
2013-07-08,365452.995017,2013,7,28,0,2013-07
2013-07-09,317279.1449993,2013,7,28,1,2013-07
2013-07-10,314134.886071,2013,7,28,2,2013-07
2013-07-11,281750.931023,2013,7,28,3,2013-07
2013-07-12,308786.438133,2013,7,28,4,2013-07
2013-07-13,432569.1022205,2013,7,28,5,2013-07
2013-07-14,438722.417857,2013,7,28,6,2013-07
2013-07-15,348803.0469486,2013,7,29,0,2013-07
2013-07-16,335516.229006,2013,7,29,1,2013-07
2013-07-17,324313.8180255,2013,7,29,2,2013-07
2013-07-18,287074.8739522,2013,7,29,3,2013-07
2013-07-19,313332.555049,2013,7,29,4,2013-07
2013-07-20,435497.731013,2013,7,29,5,2013-07
2013-07-21,437952.624049,2013,7,29,6,2013-07
2013-07-22,342802.29905,2013,7,30,0,2013-07
2013-07-23,316257.463107,2013,7,30,1,2013-07
2013-07-24,309243.7899995,2013,7,30,2,2013-07
2013-07-25,298074.2249247,2013,7,30,3,2013-07
2013-07-26,318745.692921,2013,7,30,4,2013-07
2013-07-27,423890.5020012,2013,7,30,5,2013-07
2013-07-28,433358.6520873,2013,7,30,6,2013-07
2013-07-29,331493.2850525,2013,7,31,0,2013-07
2013-07-30,318553.989932,2013,7,31,1,2013-07
2013-07-31,357982.979012,2013,7,31,2,2013-07
2013-08-01,397555.3181021,2013,8,31,3,2013-08
2013-08-02,393831.120007,2013,8,31,4,2013-08
2013-08-03,516956.846013,2013,8,31,5,2013-08
2013-08-04,514267.27594,2013,8,31,6,2013-08
2013-08-05,407033.810946,2013,8,32,0,2013-08
2013-08-06,357263.854086,2013,8,32,1,2013-08
2013-08-07,351302.132003,2013,8,32,2,2013-08
2013-08-08,310953.0239315,2013,8,32,3,2013-08
2013-08-09,337521.667868,2013,8,32,4,2013-08
2013-08-10,434184.94409,2013,8,32,5,2013-08
2013-08-11,434720.3230013,2013,8,32,6,2013-08
2013-08-12,349539.224033,2013,8,33,0,2013-08
2013-08-13,317103.331061,2013,8,33,1,2013-08
2013-08-14,324377.386893,2013,8,33,2,2013-08
2013-08-15,311043.17291,2013,8,33,3,2013-08
2013-08-16,364487.3218839,2013,8,33,4,2013-08
2013-08-17,448835.3109167,2013,8,33,5,2013-08
2013-08-18,464053.7730675,2013,8,33,6,2013-08
2013-08-19,362085.52696,2013,8,34,0,2013-08
2013-08-20,343046.11398,2013,8,34,1,2013-08
2013-08-21,335724.643932,2013,8,34,2,2013-08
2013-08-22,306473.26098,2013,8,34,3,2013-08
2013-08-23,331906.369098,2013,8,34,4,2013-08
2013-08-24,420576.154994,2013,8,34,5,2013-08
2013-08-25,443694.093754,2013,8,34,6,2013-08
2013-08-26,347159.6410143,2013,8,35,0,2013-08
2013-08-27,319688.2190185,2013,8,35,1,2013-08
2013-08-28,319322.060993,2013,8,35,2,2013-08
2013-08-29,294518.685943,2013,8,35,3,2013-08
2013-08-30,354932.930947,2013,8,35,4,2013-08
2013-08-31,523631.3811059,2013,8,35,5,2013-08
2013-09-01,640406.221875,2013,9,35,6,2013-09
2013-09-02,458792.960966,2013,9,36,0,2013-09
2013-09-03,397680.420032,2013,9,36,1,2013-09
2013-09-04,392565.48591,2013,9,36,2,2013-09
2013-09-05,330622.779063,2013,9,36,3,2013-09
2013-09-06,335442.247929,2013,9,36,4,2013-09
2013-09-07,518584.247,2013,9,36,5,2013-09
2013-09-08,560852.005091,2013,9,36,6,2013-09
2013-09-09,377151.7070027,2013,9,37,0,2013-09
2013-09-10,308074.4658225,2013,9,37,1,2013-09
2013-09-11,323124.61885,2013,9,37,2,2013-09
2013-09-12,282855.730937,2013,9,37,3,2013-09
2013-09-13,319556.942029,2013,9,37,4,2013-09
2013-09-14,476364.004996,2013,9,37,5,2013-09
2013-09-15,532852.959041,2013,9,37,6,2013-09
2013-09-16,373229.840879,2013,9,38,0,2013-09
2013-09-17,327282.949966,2013,9,38,1,2013-09
2013-09-18,315687.718926,2013,9,38,2,2013-09
2013-09-19,279580.372008,2013,9,38,3,2013-09
2013-09-20,331846.9039701,2013,9,38,4,2013-09
2013-09-21,468298.380896,2013,9,38,5,2013-09
2013-09-22,502068.7019007,2013,9,38,6,2013-09
2013-09-23,356043.0340047,2013,9,39,0,2013-09
2013-09-24,303333.392926,2013,9,39,1,2013-09
2013-09-25,312490.104996,2013,9,39,2,2013-09
2013-09-26,273057.8798588,2013,9,39,3,2013-09
2013-09-27,320246.574024,2013,9,39,4,2013-09
2013-09-28,484903.6890081,2013,9,39,5,2013-09
2013-09-29,522868.441946,2013,9,39,6,2013-09
2013-09-30,367068.4500143,2013,9,40,0,2013-09
2013-10-01,436441.034076,2013,10,40,1,2013-10
2013-10-02,414455.6550375,2013,10,40,2,2013-10
2013-10-03,348933.24703,2013,10,40,3,2013-10
2013-10-04,378109.978059,2013,10,40,4,2013-10
2013-10-05,540156.625057,2013,10,40,5,2013-10
2013-10-06,553031.424016,2013,10,40,6,2013-10
2013-10-07,373387.109043,2013,10,41,0,2013-10
2013-10-08,326726.7240121,2013,10,41,1,2013-10
2013-10-09,322529.418957,2013,10,41,2,2013-10
2013-10-10,305047.0980576,2013,10,41,3,2013-10
2013-10-11,402913.849028,2013,10,41,4,2013-10
2013-10-12,426379.6909939,2013,10,41,5,2013-10
2013-10-13,481781.2559686,2013,10,41,6,2013-10
2013-10-14,342694.7209944,2013,10,42,0,2013-10
2013-10-15,305242.569986,2013,10,42,1,2013-10
2013-10-16,355696.963943,2013,10,42,2,2013-10
2013-10-17,312949.412961,2013,10,42,3,2013-10
2013-10-18,323327.873107,2013,10,42,4,2013-10
2013-10-19,488245.570001,2013,10,42,5,2013-10
2013-10-20,537713.5090483,2013,10,42,6,2013-10
2013-10-21,348721.327971,2013,10,43,0,2013-10
2013-10-22,301641.7850828,2013,10,43,1,2013-10
2013-10-23,323105.11598,2013,10,43,2,2013-10
2013-10-24,276059.0800025,2013,10,43,3,2013-10
2013-10-25,317570.4260338,2013,10,43,4,2013-10
2013-10-26,452902.363914,2013,10,43,5,2013-10
2013-10-27,512891.4830689,2013,10,43,6,2013-10
2013-10-28,346941.91396,2013,10,44,0,2013-10
2013-10-29,302332.9969864,2013,10,44,1,2013-10
2013-10-30,319494.7050373,2013,10,44,2,2013-10
2013-10-31,298195.433106,2013,10,44,3,2013-10
2013-11-01,403637.232955,2013,11,44,4,2013-11
2013-11-02,540615.555037,2013,11,44,5,2013-11
2013-11-03,602796.556029,2013,11,44,6,2013-11
2013-11-04,424314.167046,2013,11,45,0,2013-11
2013-11-05,393322.182909,2013,11,45,1,2013-11
2013-11-06,386426.9788195,2013,11,45,2,2013-11
2013-11-07,346293.3400477,2013,11,45,3,2013-11
2013-11-08,358473.978049,2013,11,45,4,2013-11
2013-11-09,513850.32307,2013,11,45,5,2013-11
2013-11-10,587666.490239,2013,11,45,6,2013-11
2013-11-11,374087.890067,2013,11,46,0,2013-11
2013-11-12,373277.748034,2013,11,46,1,2013-11
2013-11-13,332279.2568851,2013,11,46,2,2013-11
2013-11-14,284567.4029707,2013,11,46,3,2013-11
2013-11-15,349383.296052,2013,11,46,4,2013-11
2013-11-16,524065.5881155,2013,11,46,5,2013-11
2013-11-17,579209.228924,2013,11,46,6,2013-11
2013-11-18,391945.551999,2013,11,47,0,2013-11
2013-11-19,329455.2710234,2013,11,47,1,2013-11
2013-11-20,354337.734795,2013,11,47,2,2013-11
2013-11-21,298047.047965,2013,11,47,3,2013-11
2013-11-22,340734.213038,2013,11,47,4,2013-11
2013-11-23,485544.298837,2013,11,47,5,2013-11
2013-11-24,550925.293106,2013,11,47,6,2013-11
2013-11-25,365965.5090102,2013,11,48,0,2013-11
2013-11-26,323292.830024,2013,11,48,1,2013-11
2013-11-27,337083.286026,2013,11,48,2,2013-11
2013-11-28,305982.981947,2013,11,48,3,2013-11
2013-11-29,357000.404165,2013,11,48,4,2013-11
2013-11-30,541977.655801,2013,11,48,5,2013-11
2013-12-01,698217.128989,2013,12,48,6,2013-12
2013-12-02,495488.366984,2013,12,49,0,2013-12
2013-12-03,424438.046973,2013,12,49,1,2013-12
2013-12-04,424147.0459855,2013,12,49,2,2013-12
2013-12-05,386406.804985,2013,12,49,3,2013-12
2013-12-06,432661.755068,2013,12,49,4,2013-12
2013-12-07,537181.319801,2013,12,49,5,2013-12
2013-12-08,588855.895921,2013,12,49,6,2013-12
2013-12-09,442309.3141075,2013,12,50,0,2013-12
2013-12-10,414421.695986,2013,12,50,1,2013-12
2013-12-11,422957.198908,2013,12,50,2,2013-12
2013-12-12,384256.080979,2013,12,50,3,2013-12
2013-12-13,434657.0129787,2013,12,50,4,2013-12
2013-12-14,554911.917024,2013,12,50,5,2013-12
2013-12-15,642015.7758165,2013,12,50,6,2013-12
2013-12-16,516060.290853,2013,12,51,0,2013-12
2013-12-17,480470.71684249997,2013,12,51,1,2013-12
2013-12-18,527481.336925,2013,12,51,2,2013-12
2013-12-19,507461.038187,2013,12,51,3,2013-12
2013-12-20,544104.2676365,2013,12,51,4,2013-12
2013-12-21,685673.07474,2013,12,51,5,2013-12
2013-12-22,696295.146867,2013,12,51,6,2013-12
2013-12-23,792865.284427,2013,12,52,0,2013-12
2013-12-24,620663.290732,2013,12,52,1,2013-12
2013-12-26,470731.1624137,2013,12,52,3,2013-12
2013-12-27,479314.968043,2013,12,52,4,2013-12
2013-12-28,556952.3059789999,2013,12,52,5,2013-12
2013-12-29,499719.5049237,2013,12,52,6,2013-12
2013-12-30,635134.7358515,2013,12,1,0,2013-12
2013-12-31,507264.6630475,2013,12,1,1,2013-12
2014-01-01,8602.065404,2014,1,1,2,2014-01
2014-01-02,801011.226041,2014,1,1,3,2014-01
2014-01-03,680672.845603,2014,1,1,4,2014-01
2014-01-04,936628.8866039,2014,1,1,5,2014-01
2014-01-05,949618.78894,2014,1,1,6,2014-01
2014-01-06,602268.564009,2014,1,2,0,2014-01
2014-01-07,563450.5988595,2014,1,2,1,2014-01
2014-01-08,636176.853478,2014,1,2,2,2014-01
2014-01-09,496377.933414,2014,1,2,3,2014-01
2014-01-10,543055.329066,2014,1,2,4,2014-01
2014-01-11,787321.455619,2014,1,2,5,2014-01
2014-01-12,844633.598917,2014,1,2,6,2014-01
2014-01-13,555547.0150185,2014,1,3,0,2014-01
2014-01-14,502643.104285,2014,1,3,1,2014-01
2014-01-15,567067.469069,2014,1,3,2,2014-01
2014-01-16,502789.214207,2014,1,3,3,2014-01
2014-01-17,542937.915657,2014,1,3,4,2014-01
2014-01-18,786779.8899055,2014,1,3,5,2014-01
2014-01-19,851735.334091,2014,1,3,6,2014-01
2014-01-20,575850.061871,2014,1,4,0,2014-01
2014-01-21,538817.207912,2014,1,4,1,2014-01
2014-01-22,553097.596874,2014,1,4,2,2014-01
2014-01-23,460789.0398597,2014,1,4,3,2014-01
2014-01-24,526124.572256,2014,1,4,4,2014-01
2014-01-25,733880.979053,2014,1,4,5,2014-01
2014-01-26,814057.732862,2014,1,4,6,2014-01
2014-01-27,540798.833711,2014,1,5,0,2014-01
2014-01-28,481593.435798,2014,1,5,1,2014-01
2014-01-29,512853.989922,2014,1,5,2,2014-01
2014-01-30,453642.9707033,2014,1,5,3,2014-01
2014-01-31,560816.192394,2014,1,5,4,2014-01
2014-02-01,648870.19898,2014,2,5,5,2014-02
2014-02-02,619805.537102,2014,2,5,6,2014-02
2014-02-03,461637.5229585,2014,2,6,0,2014-02
2014-02-04,403189.5869763,2014,2,6,1,2014-02
2014-02-05,399138.3059075,2014,2,6,2,2014-02
2014-02-06,359139.101529,2014,2,6,3,2014-02
2014-02-07,389471.568011,2014,2,6,4,2014-02
2014-02-08,530128.059914,2014,2,6,5,2014-02
2014-02-09,520753.7470746,2014,2,6,6,2014-02
2014-02-10,396622.737011,2014,2,7,0,2014-02
2014-02-11,358382.7339877,2014,2,7,1,2014-02
2014-02-12,387758.393971,2014,2,7,2,2014-02
2014-02-13,347373.2985675,2014,2,7,3,2014-02
2014-02-14,361206.4069057,2014,2,7,4,2014-02
2014-02-15,538893.357859,2014,2,7,5,2014-02
2014-02-16,595300.23508,2014,2,7,6,2014-02
2014-02-17,412029.2879535,2014,2,8,0,2014-02
2014-02-18,365331.247942,2014,2,8,1,2014-02
2014-02-19,360161.6390075,2014,2,8,2,2014-02
2014-02-20,322451.9201135,2014,2,8,3,2014-02
2014-02-21,369403.653633,2014,2,8,4,2014-02
2014-02-22,538206.082827,2014,2,8,5,2014-02
2014-02-23,487896.463891,2014,2,8,6,2014-02
2014-02-24,404224.188997,2014,2,9,0,2014-02
2014-02-25,351418.110084,2014,2,9,1,2014-02
2014-02-26,353604.266985,2014,2,9,2,2014-02
2014-02-27,330330.185244,2014,2,9,3,2014-02
2014-02-28,425624.795466,2014,2,9,4,2014-02
2014-03-01,911360.2578707,2014,3,9,5,2014-03
2014-03-02,667413.052988,2014,3,9,6,2014-03
2014-03-03,613973.031386,2014,3,10,0,2014-03
2014-03-04,748930.902096,2014,3,10,1,2014-03
2014-03-05,741756.416525,2014,3,10,2,2014-03
2014-03-06,614082.444339,2014,3,10,3,2014-03
2014-03-07,598242.341178,2014,3,10,4,2014-03
2014-03-08,753345.259201,2014,3,10,5,2014-03
2014-03-09,916117.649984,2014,3,10,6,2014-03
2014-03-10,587414.828974,2014,3,11,0,2014-03
2014-03-11,539365.375063,2014,3,11,1,2014-03
2014-03-12,575676.797032,2014,3,11,2,2014-03
2014-03-13,473298.042544,2014,3,11,3,2014-03
2014-03-14,530515.2554715,2014,3,11,4,2014-03
2014-03-15,731049.789851,2014,3,11,5,2014-03
2014-03-16,929808.492772,2014,3,11,6,2014-03
2014-03-17,612719.522118,2014,3,12,0,2014-03
2014-03-18,537427.86875,2014,3,12,1,2014-03
2014-03-19,585974.657018,2014,3,12,2,2014-03
2014-03-20,500897.112641,2014,3,12,3,2014-03
2014-03-21,548811.469984,2014,3,12,4,2014-03
2014-03-22,771704.933772,2014,3,12,5,2014-03
2014-03-23,838814.636064,2014,3,12,6,2014-03
2014-03-24,571762.044919,2014,3,13,0,2014-03
2014-03-25,539861.6183493,2014,3,13,1,2014-03
2014-03-26,569680.543547,2014,3,13,2,2014-03
2014-03-27,468581.39830400003,2014,3,13,3,2014-03
2014-03-28,538905.781947,2014,3,13,4,2014-03
2014-03-29,822333.142686,2014,3,13,5,2014-03
2014-03-30,873958.8396415,2014,3,13,6,2014-03
2014-03-31,651800.509461,2014,3,14,0,2014-03
2014-04-01,485079.887001,2014,4,14,1,2014-04
2014-04-02,463917.316107,2014,4,14,2,2014-04
2014-04-03,388867.961418,2014,4,14,3,2014-04
2014-04-04,422578.745073,2014,4,14,4,2014-04
2014-04-05,617680.194045,2014,4,14,5,2014-04
2014-04-06,631888.250898,2014,4,14,6,2014-04
2014-04-07,426091.1040178,2014,4,15,0,2014-04
2014-04-08,376663.272105,2014,4,15,1,2014-04
2014-04-09,375309.08201199997,2014,4,15,2,2014-04
2014-04-10,334052.7571255,2014,4,15,3,2014-04
2014-04-11,379646.845927,2014,4,15,4,2014-04
2014-04-12,529919.922964,2014,4,15,5,2014-04
2014-04-13,540190.281942,2014,4,15,6,2014-04
2014-04-14,381386.309033,2014,4,16,0,2014-04
2014-04-15,364689.054991,2014,4,16,1,2014-04
2014-04-16,411357.084985,2014,4,16,2,2014-04
2014-04-17,397464.842904,2014,4,16,3,2014-04
2014-04-18,394392.184115,2014,4,16,4,2014-04
2014-04-19,496904.749136,2014,4,16,5,2014-04
2014-04-20,520126.3980386,2014,4,16,6,2014-04
2014-04-21,398677.396998,2014,4,17,0,2014-04
2014-04-22,370552.249018,2014,4,17,1,2014-04
2014-04-23,372232.595049,2014,4,17,2,2014-04
2014-04-24,320875.477858,2014,4,17,3,2014-04
2014-04-25,357173.708433,2014,4,17,4,2014-04
2014-04-26,497334.735036,2014,4,17,5,2014-04
2014-04-27,560508.420995,2014,4,17,6,2014-04
2014-04-28,362271.9169815,2014,4,18,0,2014-04
2014-04-29,326338.348031,2014,4,18,1,2014-04
2014-04-30,357079.964912,2014,4,18,2,2014-04
2014-05-01,530380.848064,2014,5,18,3,2014-05
2014-05-02,443284.891212,2014,5,18,4,2014-05
2014-05-03,610391.748971,2014,5,18,5,2014-05
2014-05-04,646164.863883,2014,5,18,6,2014-05
2014-05-05,427601.704071,2014,5,19,0,2014-05
2014-05-06,388945.890086,2014,5,19,1,2014-05
2014-05-07,391932.183945,2014,5,19,2,2014-05
2014-05-08,337483.713217,2014,5,19,3,2014-05
2014-05-09,381335.196055,2014,5,19,4,2014-05
2014-05-10,577012.026997,2014,5,19,5,2014-05
2014-05-11,454512.928937,2014,5,19,6,2014-05
2014-05-12,398251.889006,2014,5,20,0,2014-05
2014-05-13,360734.522978,2014,5,20,1,2014-05
2014-05-14,356373.806985,2014,5,20,2,2014-05
2014-05-15,332272.8296378,2014,5,20,3,2014-05
2014-05-16,380822.742652,2014,5,20,4,2014-05
2014-05-17,537873.964019,2014,5,20,5,2014-05
2014-05-18,634519.7368283,2014,5,20,6,2014-05
2014-05-19,388814.744958,2014,5,21,0,2014-05
2014-05-20,354372.33997,2014,5,21,1,2014-05
2014-05-21,356898.483031,2014,5,21,2,2014-05
2014-05-22,310660.142642,2014,5,21,3,2014-05
2014-05-23,349549.892726,2014,5,21,4,2014-05
2014-05-24,516627.261707,2014,5,21,5,2014-05
2014-05-25,573412.21016,2014,5,21,6,2014-05
2014-05-26,373831.086112,2014,5,22,0,2014-05
2014-05-27,327642.143098,2014,5,22,1,2014-05
2014-05-28,338481.784057,2014,5,22,2,2014-05
